Model,RMSE,MAE,R2,CV R2 Mean,CV R2 Std,Time (s)
Linear Regression,4.8840630754620165,2.445623880822497,0.7032316441872806,0.7366550167133921,0.029218933884802605,0.09886288642883301
Random Forest,4.438705239201447,2.5963550334891217,0.7548862500718586,0.7580480470045898,0.010910326990866063,102.38984203338623
Gradient Boosting,3.9983454842757635,2.3282797937688957,0.8011087407963289,0.7839965629523274,0.01217933924327114,47.216952323913574
XGBoost,4.329340217311753,2.4183596215015912,0.7668161362305473,0.7571754135315679,0.01384235570250186,4.011346101760864
KNN,4.376668814845781,2.6083199247235944,0.7616899094950255,0.7521189086862794,0.010484841415531923,1.9361586570739746
